likes,comment,share,followers,engagement rate,date,month,year,time,average likes,comment ratio,average comments
4303,118,57,810801,9.62,24/10/2021,June,2022,19:25,6631,0.47,684
7800,84,240,265324,1.94,18/08/2022,September,2022,3:37,3672,0.67,129
4416,397,44,855328,4.35,24/11/2022,March,2021,22:56,9718,0.41,560
7281,39,367,575273,6.88,27/02/2020,September,2021,19:33,3038,0.25,438
1826,313,276,897154,3.72,14/07/2020,May,2020,4:43,5631,1.0,617
4072,715,420,420437,2.48,07/08/2021,February,2020,22:04,5165,0.75,57
7865,744,47,668964,2.06,12/02/2021,December,2022,14:06,3952,0.25,231
8768,704,451,424927,4.23,07/04/2022,October,2021,12:52,8418,0.39,397
4447,28,379,734882,8.35,16/10/2020,October,2020,20:35,9182,0.91,167
8578,53,244,559148,7.57,23/02/2020,August,2020,21:50,777,0.13,792
8043,993,493,108176,3.92,19/04/2021,January,2022,15:48,7563,0.37,389
1183,41,116,124959,3.2,25/09/2021,April,2021,11:23,5198,0.93,219
7969,26,126,11112,8.43,16/03/2022,October,2020,14:00,8297,0.83,694
9130,489,383,99313,3.25,20/01/2021,September,2021,14:03,7381,0.05,617
3404,769,247,698316,1.56,09/02/2022,May,2021,10:26,4247,0.96,822
3763,320,9,562856,4.66,07/11/2022,November,2021,18:53,1,0.47,723
9848,404,69,327179,2.6,28/11/2022,April,2020,10:02,1880,0.49,268
4974,280,328,587936,4.59,05/05/2020,September,2021,14:50,1299,0.17,230
2312,876,48,282248,1.3,26/10/2020,October,2021,1:56,5287,0.22,613
5862,122,441,685536,1.67,25/03/2022,August,2021,0:17,9468,0.17,693
8641,592,16,356497,6.51,09/05/2020,September,2020,8:40,8041,0.81,860
5220,168,162,422288,9.95,19/08/2021,October,2021,1:52,2239,0.81,381
7812,621,197,669308,9.18,11/04/2021,January,2020,17:19,9079,0.58,229
9909,278,406,327672,7.6,08/09/2020,April,2022,14:01,9758,0.35,360
8149,98,245,869060,3.93,21/12/2022,February,2020,6:34,4786,0.06,379
3150,965,438,438792,9.86,30/08/2021,December,2022,9:59,3735,0.25,813
6465,659,345,249230,9.96,11/12/2020,March,2020,15:38,9644,0.04,452
7763,351,248,317724,7.69,26/09/2021,September,2022,10:27,7231,0.86,330
9328,655,59,913972,7.4,31/05/2021,September,2020,0:43,9513,0.26,13
9572,313,41,209596,3.43,03/05/2021,May,2021,19:20,1092,0.0,44
2471,847,397,585614,5.47,11/08/2020,June,2020,5:47,1883,0.65,716
840,545,0,176491,0.68,28/09/2022,April,2021,3:58,8355,0.96,547
9696,749,293,163483,5.25,11/12/2020,October,2022,22:56,3391,0.17,559
6736,803,371,933528,9.77,27/12/2021,June,2020,17:40,43,0.56,959
3601,556,110,343996,0.15,15/07/2020,September,2021,8:46,865,1.0,349
3753,219,385,590335,4.69,13/07/2022,May,2020,15:36,1386,0.5,315
1148,452,53,357677,8.37,28/02/2020,September,2022,10:19,521,0.96,215
8608,749,141,59902,3.6,16/08/2021,February,2021,16:22,6050,0.08,520
9846,177,115,151984,2.85,14/06/2022,January,2021,20:57,9825,0.67,871
1100,772,173,799293,7.83,12/04/2021,November,2020,13:04,182,0.44,47
805,203,498,862315,0.45,22/04/2020,May,2020,10:23,6473,0.27,804
1548,989,352,958885,9.61,14/05/2020,May,2022,20:59,8226,0.08,83
4886,544,294,942852,0.33,07/01/2021,June,2020,18:45,3721,0.39,376
1406,204,164,770756,2.47,21/02/2022,January,2020,0:25,8968,0.84,346
5293,610,284,944307,0.55,25/02/2022,January,2020,10:59,9913,0.19,401
3572,351,190,603426,2.3,01/03/2020,September,2021,13:31,5080,0.68,988
9612,528,165,693289,5.08,05/02/2020,December,2020,4:08,6148,0.06,446
8085,370,231,232346,5.93,17/10/2021,September,2020,22:59,4600,0.99,784
4093,16,465,275910,1.27,15/01/2020,April,2022,20:47,7024,0.51,314
9548,690,398,307476,5.2,21/06/2022,September,2021,5:09,3877,0.87,556
606,20,405,496590,0.6,06/06/2021,July,2021,12:51,4260,0.09,525
1863,192,361,511978,5.71,05/02/2021,October,2022,17:38,653,0.75,802
4958,254,454,964501,6.76,07/10/2021,April,2021,0:48,5588,0.83,87
2666,980,200,965242,7.4,28/12/2021,October,2020,23:49,244,0.06,493
5655,263,52,403746,6.58,30/11/2022,January,2022,15:12,5481,0.72,72
5244,621,183,916408,9.45,02/12/2022,March,2020,21:16,2222,0.34,53
5917,850,123,472428,9.64,29/07/2020,September,2022,20:45,4739,0.46,637
4664,811,26,548114,8.99,06/12/2021,November,2022,8:57,541,0.98,576
5764,846,167,925567,6.31,28/10/2020,August,2022,3:43,6243,0.42,688
9355,442,146,2874,4.63,10/10/2022,September,2022,0:00,8714,0.54,988
8648,130,25,980428,7.62,01/10/2022,June,2021,14:05,8662,0.85,101
5778,908,440,661811,3.42,11/10/2021,February,2020,7:18,9762,0.03,653
9823,688,249,985260,8.68,10/09/2021,July,2020,15:29,5509,0.33,8
396,217,13,937389,4.71,29/09/2020,November,2020,10:01,7633,0.32,197
6831,469,334,339185,5.17,31/05/2022,February,2021,10:51,2794,0.72,769
4230,278,350,967939,4.88,15/08/2022,August,2021,7:17,2563,0.61,180
5477,234,339,747830,3.27,15/01/2022,August,2022,15:19,5977,0.2,498
9115,581,72,661762,2.0,13/08/2020,February,2021,8:03,5178,0.38,70
7432,2,329,323246,2.35,21/06/2020,July,2021,6:50,5565,0.36,874
5959,621,291,440089,2.28,27/11/2020,November,2020,15:33,3379,0.52,720
9370,253,288,322669,0.27,20/04/2021,October,2020,3:54,5161,0.17,42
8263,57,62,689817,6.36,07/03/2022,September,2021,1:27,447,0.87,618
4551,477,85,9649,7.96,13/07/2022,August,2020,21:35,7717,0.16,272
7574,675,343,127361,1.73,21/08/2021,April,2020,0:07,9844,0.17,258
9767,668,402,215619,3.79,31/08/2022,September,2021,0:38,3884,0.92,423
1329,144,248,374022,5.78,18/06/2021,July,2022,10:34,4679,0.8,961
5575,136,409,273857,8.54,28/12/2021,February,2020,0:49,6156,0.52,708
5892,162,212,752939,3.51,02/10/2022,February,2020,19:21,1510,0.61,205
4846,882,34,522194,5.1,06/10/2022,September,2022,7:27,3332,0.81,25
4735,683,359,593865,2.67,16/08/2021,August,2022,9:33,2357,0.49,607
4923,138,137,101226,1.18,26/10/2022,March,2022,5:09,7247,0.99,704
1367,863,84,128679,0.82,30/11/2022,April,2021,21:01,129,0.57,209
8466,521,142,128240,0.66,06/10/2022,June,2022,4:30,7450,0.05,435
9906,462,491,943172,7.67,18/04/2021,November,2020,20:15,3382,0.04,532
1682,924,258,205677,1.0,17/10/2022,December,2022,21:30,9213,0.06,983
2469,787,483,485980,6.04,09/11/2020,January,2022,19:43,1462,0.55,399
9880,292,179,141102,8.25,15/12/2021,April,2020,14:01,1844,0.54,396
1656,782,257,251730,4.3,22/07/2021,December,2021,15:11,2289,0.23,470
2495,20,247,315549,2.52,16/11/2021,December,2022,5:20,2863,0.3,198
509,636,395,886441,6.47,10/02/2020,December,2020,0:44,5223,0.73,979
1548,525,99,916,3.5,03/02/2021,April,2022,20:24,6938,0.67,726
3398,592,153,163150,3.9,03/03/2020,January,2020,6:34,3315,0.57,689
9898,762,203,824444,1.22,27/10/2022,October,2021,15:14,906,0.56,228
2762,449,283,83121,2.57,13/03/2021,July,2022,4:23,6955,0.94,117
6844,61,266,618590,6.58,02/07/2022,May,2020,1:17,1295,0.82,170
5819,674,261,325717,5.71,21/12/2022,March,2021,0:54,8551,1.0,817
3314,680,181,423227,6.9,27/07/2020,March,2020,13:14,3326,0.2,998
9401,706,255,184849,0.37,15/09/2022,January,2021,1:56,8527,0.06,439
7038,688,284,522195,0.3,18/11/2022,March,2021,23:43,9985,0.9,411
5843,804,372,485618,1.6,28/06/2021,January,2020,22:42,2769,0.02,390
8251,575,224,992792,5.45,02/12/2022,August,2020,17:34,2174,0.3,43
2871,345,475,851663,0.08,22/04/2021,July,2020,1:34,2350,0.04,382
1407,918,257,797678,0.36,27/02/2021,September,2021,17:53,8539,0.61,854
3177,406,461,398355,5.42,12/01/2022,June,2020,11:31,8335,0.06,860
868,876,317,39750,7.9,29/10/2021,December,2021,13:10,7668,0.45,658
4728,124,80,884240,1.15,29/07/2020,August,2020,6:18,765,0.31,127
9096,55,80,698133,4.51,05/08/2021,February,2020,4:36,7862,0.39,589
2549,669,30,619223,3.59,16/01/2021,October,2021,7:19,4683,0.16,441
7954,636,65,936923,7.58,24/12/2022,October,2021,1:38,3723,0.98,166
943,634,190,372418,8.4,04/12/2020,September,2021,23:25,8,0.69,30
9041,204,318,648360,0.48,29/12/2021,May,2021,20:33,7841,0.83,916
6249,890,245,292060,3.15,21/09/2021,November,2021,7:08,9161,0.56,972
8249,799,256,602309,5.0,11/08/2020,November,2021,9:29,1577,0.06,436
2994,789,279,884568,0.49,29/06/2020,January,2022,22:13,7708,0.2,718
6367,476,436,239385,6.69,21/12/2021,February,2022,21:17,9261,0.05,986
3242,945,220,815680,3.3,01/08/2021,December,2021,0:20,95,0.1,16
4983,337,326,644482,1.78,03/01/2021,January,2021,19:25,1464,0.61,153
6245,647,419,914150,2.23,29/09/2022,July,2022,0:56,340,0.7,556
4377,305,343,325489,9.63,13/10/2022,January,2021,19:34,3437,0.26,841
9702,141,15,764145,10.0,07/10/2022,February,2021,8:26,3518,0.14,782
3777,211,326,94031,1.11,25/02/2021,March,2022,3:59,1890,0.5,893
4346,493,425,987567,5.45,18/10/2022,July,2022,1:05,134,0.57,293
8563,459,386,317600,2.71,01/01/2021,June,2021,12:57,1818,0.45,375
6452,742,370,525894,5.14,25/06/2022,August,2020,23:23,5288,0.38,245
2417,709,382,723030,3.59,28/05/2020,June,2021,6:30,344,0.06,636
7240,168,97,798661,7.36,16/02/2020,June,2021,9:37,5734,0.52,944
6596,194,146,536641,1.83,08/07/2021,April,2022,22:33,3453,0.19,767
6694,618,301,164421,6.13,17/09/2021,December,2020,5:33,2526,0.26,373
1050,857,457,386096,4.07,23/12/2021,January,2022,15:33,9714,0.02,27
2522,216,22,469683,0.57,18/11/2022,December,2020,17:57,2312,0.02,447
2426,103,213,270771,5.23,06/10/2021,January,2020,1:39,717,0.73,262
6725,864,465,285874,4.1,27/08/2022,October,2020,5:38,466,0.67,999
2655,479,237,422093,7.92,20/06/2021,June,2020,0:21,2333,0.19,375
353,355,142,197881,8.86,19/08/2020,August,2022,7:40,8341,0.94,642
1577,893,157,284127,7.01,05/06/2022,November,2020,18:06,4278,0.66,174
4898,525,497,59480,9.01,23/11/2020,October,2022,13:17,7284,0.64,916
563,970,48,175234,8.97,03/01/2021,February,2020,3:50,887,0.12,593
3217,444,293,531259,2.66,11/08/2021,April,2021,16:29,4099,0.3,598
8822,520,205,345212,3.46,04/04/2021,December,2021,3:57,4007,0.23,254
325,231,430,851361,6.77,20/07/2021,June,2021,2:17,2079,0.97,450
5763,280,315,819569,2.75,03/07/2021,July,2021,5:48,5442,0.49,654
6438,265,265,934062,0.21,24/08/2021,May,2021,21:04,8147,0.03,701
2968,650,303,735028,8.77,11/05/2022,May,2020,22:27,609,0.0,983
2776,39,477,552605,4.52,19/06/2020,November,2020,19:29,6690,0.57,574
9959,127,448,752435,0.83,07/11/2020,March,2022,16:20,7672,0.87,132
3846,608,77,887767,0.45,10/01/2020,February,2021,3:53,5979,0.65,137
8607,581,301,222982,4.02,30/07/2021,September,2022,21:20,4133,0.04,76
9016,90,418,158142,2.46,18/06/2020,November,2020,16:01,9600,0.11,330
9558,964,417,724529,9.86,23/03/2020,August,2022,14:51,586,0.06,538
5277,626,380,279518,9.43,08/02/2020,December,2021,20:52,8840,0.62,117
869,419,188,939707,1.95,25/05/2020,March,2022,16:49,4941,0.72,810
9000,108,322,332125,7.42,07/05/2022,March,2020,15:22,1968,0.27,547
8206,559,99,364675,1.31,11/03/2022,December,2020,19:46,540,0.91,968
1500,24,399,668248,2.69,16/10/2021,November,2021,2:49,2434,0.4,980
998,186,30,689912,5.85,30/04/2020,July,2022,7:52,2579,0.25,991
1867,230,127,961914,0.91,12/10/2022,September,2021,19:35,6352,0.7,897
7587,174,77,429938,7.28,28/08/2020,March,2022,13:35,567,0.59,434
2248,263,444,243693,2.09,15/09/2022,May,2022,18:38,1935,0.96,339
6524,760,287,772300,9.59,09/02/2021,July,2020,6:19,366,0.72,71
1728,886,351,882515,6.58,23/03/2022,March,2021,9:33,1283,0.58,8
2766,298,247,690219,2.88,18/11/2021,June,2022,5:45,8900,0.32,2
2398,780,109,787520,5.93,30/07/2021,August,2021,18:40,7137,0.36,635
9038,904,144,960827,8.17,12/06/2021,July,2021,20:31,9047,0.43,710
8672,785,280,987448,1.37,16/01/2022,August,2022,15:35,4137,0.6,409
2758,109,300,685610,8.27,17/12/2020,March,2022,21:38,3846,0.01,800
1193,331,26,866110,9.16,17/08/2020,April,2020,13:31,6222,0.63,806
89,961,402,300552,7.5,03/09/2020,May,2021,2:07,7429,0.36,920
7610,87,233,753691,9.45,30/11/2022,August,2020,15:29,1118,0.07,624
6889,217,454,327830,9.28,16/06/2022,December,2022,10:58,4649,0.52,795
9576,287,467,326439,9.61,16/02/2021,July,2022,13:01,4343,0.14,434
3424,859,333,821349,8.83,17/04/2020,December,2020,1:01,2956,0.26,737
8010,644,273,650984,4.11,06/08/2020,April,2022,9:44,2712,0.64,203
7670,140,433,52930,0.76,07/06/2020,February,2020,18:10,8660,0.03,43
1802,490,400,854955,5.61,20/05/2020,March,2020,21:57,7819,0.4,321
852,425,65,710719,8.02,29/03/2020,June,2022,4:51,6614,0.07,970
1117,75,407,392939,2.46,04/11/2021,July,2020,8:36,7155,0.49,286
1932,445,466,110463,5.84,11/10/2020,December,2022,10:20,8319,0.6,593
7526,592,157,903222,7.17,26/12/2020,August,2021,13:43,2807,0.78,181
2914,803,93,652583,2.88,11/02/2021,November,2022,20:05,1120,0.03,143
2481,618,386,532868,1.53,14/05/2020,January,2020,5:54,2685,0.78,674
4803,186,321,575040,5.74,11/01/2020,February,2021,15:29,8294,1.0,588
1580,433,50,538785,5.17,16/10/2022,January,2022,0:53,4552,0.63,18
295,867,20,495599,3.82,13/02/2021,August,2022,0:43,4394,0.5,980
457,771,374,524926,9.18,02/07/2022,July,2020,19:13,9035,0.31,243
240,975,468,127134,4.96,28/08/2021,June,2021,6:16,9800,0.53,436
3167,683,182,743420,6.68,02/01/2022,July,2022,6:33,7363,0.03,108
9671,843,31,250379,4.73,27/02/2022,February,2021,21:21,9399,0.36,405
6342,729,323,515389,5.36,18/09/2021,November,2022,11:47,6956,0.39,700
9487,815,369,158532,6.51,08/02/2021,June,2020,3:09,795,0.71,749
9312,686,380,755849,3.44,21/01/2020,July,2020,2:40,3112,0.5,901
1584,623,81,149027,9.91,07/08/2022,October,2020,18:36,9593,0.07,565
4633,642,22,844368,2.53,16/09/2022,April,2020,16:41,4234,0.65,13
2160,678,306,257339,2.49,31/12/2020,February,2020,21:15,1201,0.33,488
1275,694,163,615547,6.69,23/12/2022,December,2022,19:39,3363,0.33,387
3987,243,59,102418,6.66,10/11/2020,February,2021,12:04,4978,0.47,466
400,109,423,949294,3.45,06/02/2020,February,2021,16:52,423,0.4,106
540,851,58,662257,1.54,01/05/2021,September,2020,23:05,600,0.51,920
6356,250,135,708773,8.2,31/01/2021,October,2020,21:31,696,0.65,57
1747,932,71,114910,6.55,26/08/2021,March,2022,18:12,2971,0.73,534
5547,385,123,410668,8.28,23/11/2020,November,2022,18:21,5293,0.24,649
9430,453,164,463201,9.64,27/01/2021,January,2021,15:21,3309,0.2,564
8127,717,140,945553,2.45,13/07/2021,October,2021,19:24,4419,0.14,582
1004,843,394,872272,0.1,26/05/2022,December,2021,16:33,6924,0.5,223
9425,450,240,973632,1.44,11/10/2020,March,2020,4:01,4514,0.58,437
3800,841,258,633357,2.69,22/07/2020,October,2022,18:12,1357,0.94,674
7537,154,285,77246,1.55,26/02/2021,February,2020,23:25,1007,0.53,536
5293,793,132,93324,0.15,20/09/2020,September,2021,19:47,1849,0.66,571
4621,653,488,562465,6.85,18/04/2021,July,2021,12:30,1961,0.39,69
7155,275,113,285275,5.37,19/06/2022,December,2021,13:33,2891,0.75,848
3754,241,203,527467,7.35,21/07/2021,July,2022,3:02,7059,0.74,943
9283,809,228,661101,8.9,04/11/2022,November,2022,19:40,9665,0.13,658
8869,837,493,88473,6.71,29/10/2022,July,2021,2:43,4101,0.57,550
1778,905,80,961668,1.27,22/08/2022,November,2022,3:23,1782,0.29,786
4598,137,233,941704,2.46,05/11/2020,June,2022,15:12,3355,0.72,409
4557,715,257,835219,8.32,02/10/2022,November,2021,21:43,3277,0.44,95
7248,800,337,642148,6.35,13/01/2022,July,2020,5:14,7265,0.41,476
9713,762,268,388631,6.64,16/03/2021,August,2020,11:19,47,0.41,657
8909,446,14,530428,5.55,13/09/2021,April,2021,3:33,1552,0.63,824
713,644,460,330155,4.68,06/08/2021,July,2020,0:36,4114,0.99,971
9324,700,334,361186,6.54,30/12/2021,July,2020,2:16,629,0.13,487
4865,463,140,983201,2.07,28/08/2022,May,2020,13:49,4404,0.94,36
5135,537,21,721232,5.07,23/01/2020,July,2020,19:55,3440,0.58,654
8129,550,118,373942,1.05,22/07/2021,November,2020,17:40,9331,0.57,523
2880,97,174,50193,8.87,21/03/2020,November,2022,22:17,487,0.31,522
4329,934,58,151225,5.48,25/06/2020,February,2022,14:49,4455,0.78,529
9748,220,11,128571,8.81,01/04/2022,February,2022,6:52,6217,0.52,304
153,681,147,783672,9.09,28/07/2022,October,2022,6:49,1335,0.89,351
2533,243,307,673484,5.8,27/05/2020,April,2022,13:14,3357,0.77,459
8388,194,359,819017,9.97,08/04/2022,May,2020,16:00,374,0.17,352
5474,492,269,146893,4.2,01/06/2021,November,2021,11:20,6562,0.09,789
5336,520,265,875210,8.74,26/12/2022,April,2021,6:06,4396,0.09,796
380,512,378,621291,4.35,17/06/2022,June,2022,23:07,6139,0.19,945
2125,981,317,973243,4.34,07/01/2021,June,2020,15:20,355,0.08,673
6897,685,181,630143,2.33,11/04/2020,October,2022,15:35,645,0.2,808
9602,904,402,169164,5.56,09/11/2022,October,2020,21:24,4592,0.61,237
8418,166,483,38907,3.28,22/12/2021,September,2020,3:21,9134,0.44,677
8132,639,206,223651,2.79,04/08/2020,August,2021,22:43,239,1.0,106
5952,218,360,655430,1.8,14/02/2022,June,2022,5:58,8760,0.92,537
7255,261,184,356194,0.51,20/06/2022,February,2021,5:08,957,0.56,311
7775,576,110,365131,0.59,16/09/2021,October,2020,14:56,8181,0.51,841
3664,545,377,582923,4.55,16/09/2022,April,2020,23:07,1595,0.18,12
503,770,448,878236,8.42,26/07/2022,December,2021,13:37,4145,0.55,102
794,733,342,700911,5.34,23/11/2021,July,2022,8:07,7619,0.03,444
3190,617,459,106590,2.67,09/01/2020,April,2020,2:04,4829,0.63,268
9384,778,460,255187,5.37,13/06/2021,June,2021,6:43,4794,0.21,121
9817,935,458,600314,8.95,08/12/2021,March,2022,14:59,3501,0.32,184
3908,666,158,127993,4.86,14/06/2021,August,2020,11:08,7417,0.41,762
2535,378,338,964443,3.81,04/10/2021,July,2020,20:08,9620,0.21,262
4218,318,218,974607,2.32,08/01/2021,March,2021,18:53,2648,0.26,685
6050,439,241,689579,1.68,07/10/2021,October,2020,16:52,3305,0.3,804
9283,407,93,166103,4.38,16/05/2022,January,2022,1:20,980,0.09,210
7828,171,329,6325,6.82,26/07/2021,October,2022,23:43,1490,0.65,911
8779,160,422,235779,3.51,20/11/2021,January,2020,19:30,1304,0.08,82
1637,400,347,638632,8.72,15/03/2022,November,2022,6:51,1771,0.79,990
4124,572,3,575954,7.13,14/11/2022,December,2020,15:09,7745,0.85,917
5098,676,370,832545,6.77,26/09/2022,September,2021,20:48,7544,0.62,354
9781,205,231,124060,7.39,29/03/2020,April,2020,20:16,3200,0.07,26
7149,819,72,395637,4.26,16/02/2020,June,2021,11:17,1409,0.15,401
1109,686,314,471163,8.35,01/08/2020,October,2020,20:48,6629,0.78,369
2693,607,390,368106,7.24,24/06/2021,December,2021,2:30,7374,0.86,83
4534,371,287,239339,0.8,14/07/2021,May,2020,16:27,9845,0.23,444
9335,160,334,874434,8.08,20/07/2021,February,2022,0:25,8588,0.5,268
4080,379,309,992255,2.74,12/11/2021,November,2020,3:48,8405,0.34,505
3430,871,298,105894,3.78,26/05/2022,October,2020,16:53,7357,0.21,232
8664,647,216,369312,9.44,21/04/2020,March,2020,10:25,9027,0.09,940
8013,679,64,459808,6.73,19/06/2022,April,2022,5:04,5106,0.57,917
3244,27,56,489758,8.14,10/12/2020,March,2020,17:08,1795,0.25,425
7768,49,89,867526,3.58,06/06/2022,December,2022,5:59,5139,0.6,135
8851,279,383,383183,7.67,07/02/2022,April,2020,4:29,8278,0.02,726
734,10,426,238959,3.78,28/02/2020,July,2022,14:30,6983,0.84,38
2630,669,18,52382,7.26,09/10/2020,December,2021,23:09,1473,0.12,346
8650,461,26,38082,3.35,08/03/2020,December,2022,8:20,5703,0.73,707
4878,308,258,651979,3.02,22/08/2021,December,2021,4:56,2509,0.35,432
9701,347,290,953480,9.76,12/10/2021,January,2021,1:02,3675,0.14,169
2314,433,44,713036,8.87,17/10/2021,December,2022,10:20,7751,0.66,48
4462,18,437,789357,4.0,18/08/2020,March,2022,2:15,9469,0.67,958
4735,133,118,841777,7.65,25/01/2022,July,2020,4:01,8581,0.36,605
4851,697,225,245340,1.25,24/03/2021,February,2022,9:53,2771,0.81,390
1120,644,217,917316,1.53,18/06/2021,March,2022,0:03,6045,0.37,115
3241,250,144,861666,5.82,02/01/2020,July,2021,9:21,1322,0.44,907
9563,635,405,583288,2.93,17/01/2020,September,2022,11:06,9199,0.83,691
0,968,413,167005,6.15,28/12/2021,September,2021,23:40,1305,0.22,241
8506,224,129,237043,8.36,01/07/2020,August,2021,7:29,4419,0.25,583
5035,184,484,565083,9.01,18/01/2021,September,2021,12:51,2720,0.53,27
9294,18,248,525258,0.76,30/01/2022,February,2021,7:28,9311,0.19,845
8071,5,434,616080,7.25,01/10/2022,July,2020,13:27,5556,0.14,810
868,713,220,909341,0.24,24/02/2021,September,2022,17:29,3829,0.39,90
676,711,352,112981,7.2,04/12/2021,October,2021,15:36,1069,0.21,486
6145,480,101,284507,4.63,30/06/2020,January,2020,0:02,2833,0.62,474
1117,893,342,436838,3.24,17/09/2021,September,2022,9:49,2496,0.86,286
1437,271,14,312838,5.84,01/04/2021,May,2022,7:33,3162,0.52,800
8374,802,476,701734,5.94,18/07/2022,November,2021,11:18,4723,0.61,612
8664,100,422,670821,0.8,21/12/2022,July,2021,14:39,6091,0.39,336
8747,526,359,983421,0.98,06/12/2020,March,2021,14:16,6716,0.16,848
9389,556,273,268749,0.4,25/10/2021,March,2022,23:27,1644,0.64,31
8716,70,411,306288,7.22,26/06/2021,February,2022,3:55,4612,0.07,126
6137,607,347,138657,8.25,08/07/2022,September,2022,20:23,3572,0.28,23
2673,668,485,393385,6.23,16/04/2021,January,2020,6:56,2049,0.51,362
4150,603,182,184691,5.52,09/07/2022,April,2022,20:38,3055,0.72,229
9162,575,34,239622,0.37,21/12/2022,March,2020,22:46,6259,0.44,213
7841,517,216,26868,6.06,05/09/2020,March,2020,12:29,7237,0.13,209
9057,353,252,594024,1.17,29/12/2020,November,2020,22:12,596,0.92,996
6069,55,375,131849,3.89,21/08/2022,December,2022,6:59,2758,0.54,882
8207,527,330,330601,3.03,19/10/2022,April,2020,7:43,9779,0.33,625
6955,416,233,680073,4.45,04/12/2022,August,2021,18:19,2400,0.68,492
9672,714,500,220685,3.72,02/09/2022,January,2020,14:11,3325,0.6,774
1924,81,334,920195,6.9,26/02/2021,September,2022,23:38,8823,0.64,51
767,560,491,14533,0.66,30/10/2020,March,2021,6:01,6085,0.16,888
1374,974,238,519720,0.64,29/08/2020,July,2021,3:18,6834,0.09,358
9311,806,229,831428,9.58,26/01/2021,May,2020,11:07,9514,0.54,471
1336,665,140,166404,9.04,16/02/2022,October,2022,9:22,2586,0.28,442
341,349,286,766600,0.76,10/09/2022,October,2020,22:15,421,0.48,306
6423,752,3,781405,6.01,31/01/2022,June,2022,5:00,6691,0.52,609
5703,50,342,517732,8.85,24/01/2021,February,2022,1:28,9842,0.91,87
1705,970,427,280397,4.29,22/11/2022,November,2020,19:16,1796,0.8,208
7985,435,307,674551,2.79,27/03/2022,February,2021,3:47,7763,0.09,739
5087,273,353,631495,8.69,17/08/2021,January,2022,12:19,2817,0.79,88
7135,546,116,876110,8.3,29/08/2021,March,2022,16:24,3836,0.3,373
4801,89,450,400109,1.64,06/08/2020,February,2021,11:52,519,0.95,587
930,841,107,291052,6.41,25/11/2020,November,2020,16:43,4480,0.29,755
6032,368,217,333256,4.24,06/02/2022,February,2022,13:55,4327,0.39,161
4561,819,302,365686,3.02,08/03/2021,February,2022,19:55,3338,0.62,768
3798,775,241,777230,4.79,28/07/2022,October,2021,7:43,4328,0.34,99
9627,204,421,444691,2.95,16/08/2020,June,2020,2:26,3274,0.4,988
7805,436,320,454303,0.06,13/11/2021,October,2022,10:27,1560,0.4,941
2832,78,401,430812,2.21,09/04/2022,May,2021,5:41,3185,0.14,656
7425,186,380,433219,1.36,05/11/2021,December,2020,21:13,6563,0.41,741
7900,625,388,589495,2.39,06/06/2020,January,2021,23:44,7796,0.74,697
7649,971,111,708283,8.68,25/08/2020,March,2020,4:25,1357,0.54,354
4688,645,37,704494,8.1,22/10/2022,August,2021,7:44,1623,0.4,687
1430,697,63,918670,8.44,12/09/2021,January,2021,18:52,2930,0.74,331
2058,639,77,769926,6.11,22/03/2022,October,2021,8:16,4577,0.48,808
9541,968,243,308371,1.45,03/05/2020,November,2022,3:43,6091,0.71,679
1478,683,495,842155,1.77,02/08/2022,December,2022,19:53,9766,0.14,780
3003,612,244,466837,7.35,18/08/2020,September,2020,21:17,6444,0.44,409
7057,824,334,677932,6.9,30/08/2022,February,2021,4:10,9070,0.61,304
9614,370,368,660639,9.81,17/03/2021,November,2020,12:14,2044,0.54,829
5676,662,3,296379,0.8,06/01/2021,June,2021,20:10,1726,0.2,553
6871,833,290,847284,4.57,28/12/2020,January,2022,18:21,7540,0.18,355
905,489,322,979184,9.79,11/05/2022,September,2022,13:59,1002,0.18,789
1060,890,236,947966,5.85,10/03/2022,October,2022,14:43,5539,0.99,832
8105,122,105,13312,2.91,05/09/2022,October,2020,22:59,1077,0.44,578
7598,217,402,61100,1.58,23/03/2021,October,2020,18:36,6458,0.44,721
519,67,187,200539,9.69,27/09/2022,September,2022,0:33,6554,0.52,268
7663,384,201,622212,6.54,15/09/2022,September,2022,1:08,9840,0.57,527
6067,731,41,365766,3.92,15/03/2021,March,2021,1:38,3541,0.88,72
121,298,279,309608,1.95,20/09/2020,May,2021,13:37,6501,0.31,616
5538,486,76,260473,7.62,11/03/2022,March,2021,20:11,9787,0.71,288
588,131,178,667903,4.65,08/09/2022,April,2022,3:47,8601,0.36,916
8113,982,199,875328,7.2,08/08/2021,July,2021,9:01,8725,0.92,359
4429,132,246,629506,9.24,23/03/2021,November,2022,22:25,6299,0.72,89
86,299,1,688817,2.97,31/08/2022,March,2022,21:02,6797,0.68,485
3202,220,317,290593,1.88,31/01/2020,October,2020,15:31,7761,0.62,681
8169,888,468,105715,0.66,06/06/2021,December,2020,22:09,5876,0.81,401
1169,592,223,627980,7.68,04/12/2022,April,2020,12:02,547,0.21,766
6162,543,93,13872,6.23,21/11/2022,August,2020,19:59,6478,0.39,999
9905,484,330,184397,5.74,01/12/2021,April,2020,6:26,1019,0.35,244
4549,529,437,860399,0.27,18/06/2022,October,2020,7:31,9488,0.49,170
6697,797,253,964229,7.13,19/07/2022,December,2021,13:01,8614,0.66,241
7930,127,245,549042,4.24,04/05/2021,September,2022,23:07,1244,0.0,321
